bitcoin_cash,bitcoin,bitconnect,dash,ethereum_classic,ethereum,iota,litecoin,nem,monero,numeraire,omisego,neo,ripple,stratis,qtum,waves
1269.79,6634.76,255.66,428.08,17.84,337.96,0.610165,62.78,0.195403,122.24,11.17,7.87,29.79,0.20893699999999998,3.6,11.54,5.05
1346.73,6561.48,252.45,428.31,16.08,316.76,0.5860609999999999,61.64,0.19212200000000001,123.62,10.98,7.55,28.4,0.203679,3.24,11.41,4.4
1381.82,5938.25,218.02,507.05,15.31,307.02,0.59401,59.18,0.180876,128.96,9.29,6.6,27.12,0.197472,2.87,11.1,3.69
1346.97,6295.45,241.44,345.68,19.46,314.69,0.62608,62.31,0.191179,119.6,11.04,7.29,28.44,0.21021399999999998,3.3,11.59,4.1
1001.64,6618.61,252.63,331.43,14.62,298.59,0.5019859999999999,59.35,0.192005,105.75,10.54,6.99,28.15,0.205948,3.17,11.3,4.23
651.77,7173.73,274.44,325.27,14.19,320.67,0.529091,64.44,0.22148,121.34,11.99,8.04,31.97,0.218256,3.75,11.97,4.92
622.31,7446.83,285.18,315.48,13.98,308.64,0.47596400000000005,62.49,0.193797,112.53,11.24,7.67,30.76,0.21791100000000002,3.54,11.88,4.51
615.24,7141.38,270.43,293.04,14.09,294.27,0.384301,61.11,0.179285,99.82,10.57,6.34,26.17,0.210675,3.01,11.18,3.68
602.68,7023.1,260.04,274.87,14.14,298.57,0.37150900000000003,54.99,0.186479,104.23,10.77,6.52,26.26,0.205103,3.01,10.32,3.52
630.31,7403.22,276.58,273.47,13.3,296.43,0.351011,54.76,0.18134,86.42,11.26,6.28,26.47,0.201967,3.04,10.13,3.46
619.91,7404.52,278.1,274.33,11.86,300.04,0.367915,55.03,0.17076,87.31,11.45,6.44,26.48,0.203274,3.0,10.04,3.61
635.35,7164.48,270.45,278.58,12.63,305.48,0.391327,56.22,0.171515,87.9,12.45,6.72,26.77,0.208083,3.12,10.31,3.65
587.32,7087.53,262.93,263.89,10.24,288.5,0.36296999999999996,54.58,0.166597,83.53,9.15,6.23,24.6,0.20620500000000003,2.84,9.77,3.21
527.68,6777.77,251.29,271.79,10.27,290.73,0.37096599999999996,53.56,0.166398,85.66,10.28,6.05,26.75,0.194596,3.04,9.95,2.92
438.3,6440.97,239.45,278.5,10.6,305.76,0.390863,55.74,0.18695699999999998,87.65,11.64,6.83,28.38,0.200247,3.36,10.41,3.23
449.37,6132.02,227.38,285.39,10.87,307.38,0.407912,56.37,0.199406,88.75,12.87,7.23,28.69,0.202405,3.79,10.38,3.47
