bitcoin_cash,bitcoin,bitconnect,dash,ethereum_classic,ethereum,iota,litecoin,nem,monero,numeraire,omisego,neo,ripple,stratis,qtum,waves
1388.86,5950.07,218.0,536.12,15.18,307.91,0.593716,59.01,0.18040599999999998,123.86,9.28,6.59,26.96,0.19733900000000001,2.88,11.11,3.7
1340.45,6357.6,241.58,346.06,19.42,314.68,0.621817,62.3,0.192428,119.62,11.05,7.3,28.53,0.21043,3.3,11.65,4.12
1007.42,6618.14,253.59,329.57,14.6,299.25,0.5046010000000001,59.26,0.192903,105.59,10.57,7.01,28.18,0.206483,3.2,11.29,4.24
654.3,7143.58,273.57,326.01,14.21,320.88,0.535435,64.27,0.22092699999999998,120.78,11.95,8.03,31.9,0.21748800000000001,3.75,11.94,4.91
622.46,7459.69,285.47,316.33,14.02,309.07,0.475925,62.57,0.19429200000000002,113.31,11.43,7.7,30.67,0.217437,3.53,11.91,4.5
616.3,7144.38,271.27,293.38,13.92,294.66,0.383096,61.3,0.18024600000000002,99.76,10.6,6.33,26.23,0.21035399999999999,3.02,11.21,3.69
602.65,7022.76,259.85,275.68,14.33,298.89,0.37393899999999997,55.17,0.186642,102.92,10.78,6.48,26.32,0.20599,3.01,10.44,3.52
630.7,7407.41,276.28,273.17,13.24,296.26,0.350084,54.75,0.180309,86.35,10.95,6.29,26.38,0.20205499999999998,3.04,10.13,3.45
620.45,7379.95,278.66,274.68,11.89,300.47,0.368643,55.04,0.170845,87.3,11.47,6.45,26.49,0.20375,2.99,10.05,3.62
625.32,7207.76,271.12,278.59,12.66,305.71,0.39312600000000003,56.18,0.171728,87.99,12.48,6.73,26.82,0.20813299999999998,3.13,10.38,3.68
587.22,7078.5,263.27,265.31,10.24,287.43,0.366056,54.74,0.16688699999999998,83.76,9.76,6.23,24.5,0.20586100000000002,2.88,9.8,3.19
531.83,6767.31,250.93,271.56,10.26,291.69,0.36391999999999997,53.18,0.16664500000000002,85.72,10.44,6.05,26.86,0.194124,3.08,9.93,2.89
439.05,6468.4,239.52,279.15,10.62,305.88,0.390915,55.75,0.186771,87.64,11.66,6.84,28.47,0.200558,3.36,10.45,3.24
448.23,6130.53,228.12,285.94,10.87,307.75,0.409046,56.39,0.200415,88.84,12.91,7.25,28.79,0.202711,3.82,10.39,3.48
451.92,6153.85,227.1,283.93,10.86,305.09,0.40371999999999997,57.11,0.201337,88.65,11.46,7.3,27.76,0.202785,4.04,10.42,3.54
423.35,5753.09,211.84,275.69,10.55,296.3,0.395483,54.69,0.197236,86.31,12.25,7.18,27.35,0.201835,4.29,10.21,3.46
367.57,5780.9,212.55,280.48,10.38,297.42,0.42335500000000004,55.33,0.19794,86.75,12.16,7.46,28.76,0.202785,4.4,10.3,3.54
338.2,5904.83,216.59,286.13,10.5,296.53,0.41710699999999995,55.74,0.199005,88.58,12.07,7.65,28.33,0.203628,4.39,10.57,3.62
332.13,5750.8,206.32,289.14,10.63,297.93,0.44344799999999995,56.49,0.20649499999999998,88.13,12.6,7.62,28.54,0.204604,4.92,10.65,3.7
326.89,5526.64,193.7,293.2,10.6,298.33,0.453682,55.96,0.21261599999999997,88.4,13.12,8.13,30.15,0.206644,4.0,10.76,3.76
315.6,5930.32,198.57,284.23,10.28,286.95,0.38648699999999997,54.92,0.199053,85.21,11.75,7.61,27.51,0.196928,3.38,9.96,3.67
331.66,6008.42,205.04,275.7,10.83,295.45,0.392542,56.81,0.21194899999999997,86.58,12.0,7.67,28.79,0.204177,3.15,10.63,3.58
323.36,6031.6,210.4,277.86,10.92,300.19,0.393045,58.2,0.21267600000000003,88.12,12.74,7.37,27.13,0.21101599999999998,3.02,10.91,3.58
327.44,6011.45,213.46,289.19,11.22,304.01,0.401913,60.33,0.21594699999999997,90.54,14.14,7.31,27.75,0.210549,2.96,11.3,3.66
330.81,5708.52,199.79,295.47,11.34,308.09,0.433388,59.74,0.220531,88.62,14.46,7.92,28.66,0.21515,3.09,12.07,3.89
339.17,5590.69,195.38,297.26,11.53,314.32,0.454575,60.73,0.22031599999999998,89.54,14.47,7.84,29.67,0.21852,3.22,11.49,4.04
371.73,5605.51,193.95,299.88,11.92,317.08,0.468463,59.48,0.218207,91.28,13.72,7.99,31.4,0.232064,3.06,12.05,3.92
313.64,5725.59,199.63,302.21,11.89,333.38,0.45065500000000003,64.62,0.223181,95.9,12.17,7.85,28.53,0.256232,2.98,11.49,4.02
314.95,5678.19,193.03,309.51,11.95,336.6,0.438429,65.47,0.2073,94.87,10.89,7.97,27.73,0.26398299999999997,3.01,10.44,3.8
321.96,5831.79,199.74,316.69,12.26,339.63,0.457837,63.95,0.210581,100.23,11.37,8.03,27.8,0.25732,2.85,10.63,4.0
321.46,5647.21,196.72,310.38,12.18,338.76,0.44159499999999996,59.43,0.211569,95.13,11.81,8.3,29.35,0.26048899999999997,3.14,11.25,3.97
313.21,5446.91,188.09,291.91,11.96,304.14,0.41241700000000003,60.11,0.20614699999999997,87.09,12.1,8.2,28.18,0.248414,3.12,11.29,3.69
314.9,4826.48,166.59,298.4,11.49,303.46,0.48146400000000006,50.89,0.214811,87.42,12.36,9.26,29.96,0.264439,3.51,12.13,4.18
321.59,4781.99,161.25,291.27,11.54,299.87,0.477576,50.72,0.209909,86.82,11.48,8.09,29.31,0.260733,3.4,12.08,4.12
314.16,4772.02,158.66,283.67,11.5,297.39,0.469438,50.16,0.194931,85.49,11.55,7.5,29.1,0.251825,3.35,12.07,4.13
342.21,4610.48,148.31,302.48,12.12,308.61,0.5000319999999999,53.14,0.19480699999999998,89.77,12.1,7.7,32.07,0.279944,3.51,11.14,4.44
360.78,4426.89,144.15,310.49,12.28,311.12,0.538529,52.58,0.212189,91.7,14.87,8.54,36.14,0.23861,3.92,11.94,5.02
363.01,4370.81,141.86,306.88,12.34,308.59,0.503448,52.12,0.21132399999999998,91.19,14.64,8.66,33.52,0.234039,3.69,11.69,4.97
355.75,4328.41,138.96,305.4,11.95,295.86,0.5409149999999999,51.67,0.21107199999999998,91.86,14.22,8.8,32.28,0.23701599999999998,3.56,11.86,4.97
358.45,4229.36,135.09,305.46,11.97,292.66,0.546982,51.4,0.21845599999999998,90.41,14.11,8.66,31.16,0.21477399999999996,3.64,11.63,4.91
404.18,4317.48,136.58,296.24,12.41,292.46,0.561712,52.35,0.22274000000000002,92.96,13.81,9.24,33.61,0.203318,3.81,12.12,4.73
421.19,4409.32,139.08,308.69,12.44,297.48,0.575398,53.38,0.23144099999999998,91.54,14.79,9.2,36.74,0.202676,3.91,11.88,4.85
415.15,4403.74,139.33,315.8,12.74,302.34,0.610183,54.54,0.24618,93.22,16.36,9.82,35.72,0.20653200000000002,4.13,12.34,4.97
432.63,4338.71,136.16,327.14,12.98,301.46,0.620822,55.14,0.23516199999999998,95.76,14.56,10.12,34.21,0.197529,4.44,11.59,5.04
436.77,4163.07,130.11,327.7,12.52,291.47,0.584418,52.62,0.237538,94.5,14.73,9.75,28.64,0.193606,4.47,9.77,4.93
447.81,4174.73,131.26,338.25,12.73,299.15,0.595896,54.09,0.23826799999999998,97.23,15.42,10.49,29.76,0.196131,4.79,9.93,4.78
457.31,4200.67,126.31,346.43,12.65,306.47,0.551005,56.28,0.24330100000000002,101.04,16.91,10.34,31.79,0.203299,4.77,9.9,5.17
441.83,3892.35,117.76,339.1,11.24,287.44,0.515205,51.55,0.22864600000000002,93.13,15.15,9.76,26.38,0.186119,4.39,9.34,4.79
445.8,3926.07,117.5,345.09,10.86,292.33,0.556207,51.58,0.232506,93.64,15.34,10.0,26.02,0.18148699999999998,4.25,9.36,4.23
421.03,3682.84,110.11,331.85,10.44,282.48,0.521379,47.62,0.21615399999999999,89.5,15.53,8.66,19.79,0.175787,3.97,8.04,3.97
