"","Date","Prix","Variation 24h"
"272",2016-09-28,"1 BTC = 541.30000000€","0.98%"
"273",2016-09-29,"1 BTC = 542.14000000€","0.15%"
"274",2016-09-30,"1 BTC = 541.75000000€","-0.07%"
"275",2016-10-01,"1 BTC = 540.34000000€","-0.26%"
"276",2016-10-02,"1 BTC = 545.30000000€","0.91%"
"277",2016-10-03,"1 BTC = 549.89000000€","0.83%"
"278",2016-10-04,"1 BTC = 545.72000000€","-0.76%"
"279",2016-10-05,"1 BTC = 546.90000000€","0.22%"
"280",2016-10-06,"1 BTC = 546.71000000€","-0.03%"
"281",2016-10-07,"1 BTC = 549.96000000€","0.59%"
"282",2016-10-08,"1 BTC = 550.68000000€","0.13%"
"283",2016-10-09,"1 BTC = 556.12000000€","0.98%"
"284",2016-10-10,"1 BTC = 555.59000000€","-0.1%"
"285",2016-10-11,"1 BTC = 552.88000000€","-0.49%"
"286",2016-10-12,"1 BTC = 556.09000000€","0.58%"
"287",2016-10-13,"1 BTC = 582.24000000€","4.49%"
"288",2016-10-14,"1 BTC = 579.33000000€","-0.5%"
"289",2016-10-15,"1 BTC = 574.85000000€","-0.78%"
"290",2016-10-16,"1 BTC = 583.05000000€","1.41%"
"291",2016-10-17,"1 BTC = 582.64000000€","-0.07%"
"292",2016-10-18,"1 BTC = 585.22000000€","0.44%"
"293",2016-10-19,"1 BTC = 581.18000000€","-0.7%"
"294",2016-10-20,"1 BTC = 582.04000000€","0.15%"
"295",2016-10-21,"1 BTC = 576.29000000€","-1%"
"296",2016-10-22,"1 BTC = 579.09000000€","0.48%"
"297",2016-10-23,"1 BTC = 582.17000000€","0.53%"
"298",2016-10-24,"1 BTC = 601.69000000€","3.24%"
"299",2016-10-25,"1 BTC = 599.90000000€","-0.3%"
"300",2016-10-26,"1 BTC = 600.17000000€","0.04%"
"301",2016-10-27,"1 BTC = 601.59000000€","0.24%"
"302",2016-10-28,"1 BTC = 620.56000000€","3.06%"
"303",2016-10-29,"1 BTC = 628.72000000€","1.3%"
"304",2016-10-30,"1 BTC = 628.12000000€","-0.1%"
"305",2016-10-31,"1 BTC = 645.13000000€","2.64%"
"306",2016-11-01,"1 BTC = 628.48000000€","-2.65%"
"307",2016-11-02,"1 BTC = 634.14000000€","0.89%"
"308",2016-11-03,"1 BTC = 658.54000000€","3.71%"
"309",2016-11-04,"1 BTC = 662.53000000€","0.6%"
"310",2016-11-05,"1 BTC = 618.44000000€","-7.13%"
"311",2016-11-06,"1 BTC = 632.02000000€","2.15%"
"312",2016-11-07,"1 BTC = 631.84000000€","-0.03%"
"313",2016-11-08,"1 BTC = 639.95000000€","1.27%"
"314",2016-11-09,"1 BTC = 637.74000000€","-0.35%"
"315",2016-11-10,"1 BTC = 646.54000000€","1.36%"
"316",2016-11-11,"1 BTC = 661.01000000€","2.19%"
"317",2016-11-12,"1 BTC = 657.80000000€","-0.49%"
"318",2016-11-13,"1 BTC = 660.61000000€","0.43%"
"319",2016-11-14,"1 BTC = 647.53000000€","-2.02%"
"320",2016-11-15,"1 BTC = 647.24000000€","-0.04%"
"321",2016-11-16,"1 BTC = 657.94000000€","1.63%"
"322",2016-11-17,"1 BTC = 663.66000000€","0.86%"
"323",2016-11-18,"1 BTC = 694.09000000€","4.38%"
"324",2016-11-19,"1 BTC = 694.20000000€","0.02%"
"325",2016-11-20,"1 BTC = 704.57000000€","1.47%"
"326",2016-11-21,"1 BTC = 708.45000000€","0.55%"
"327",2016-11-22,"1 BTC = 688.20000000€","-2.94%"
"328",2016-11-23,"1 BTC = 694.84000000€","0.96%"
"329",2016-11-24,"1 BTC = 707.35000000€","1.77%"
"330",2016-11-25,"1 BTC = 705.33000000€","-0.29%"
"331",2016-11-26,"1 BTC = 700.76000000€","-0.65%"
"332",2016-11-27,"1 BTC = 701.90000000€","0.16%"
"333",2016-11-28,"1 BTC = 696.55000000€","-0.77%"
"334",2016-11-29,"1 BTC = 693.33000000€","-0.46%"
"335",2016-11-30,"1 BTC = 695.09000000€","0.25%"
"336",2016-12-01,"1 BTC = 691.61000000€","-0.5%"
"337",2016-12-02,"1 BTC = 703.65000000€","1.71%"
"338",2016-12-03,"1 BTC = 709.97000000€","0.89%"
"339",2016-12-04,"1 BTC = 730.59000000€","2.82%"
"340",2016-12-05,"1 BTC = 727.75000000€","-0.39%"
"341",2016-12-06,"1 BTC = 732.25000000€","0.61%"
"342",2016-12-07,"1 BTC = 714.70000000€","-2.46%"
"343",2016-12-08,"1 BTC = 717.94000000€","0.45%"
"344",2016-12-09,"1 BTC = 722.18000000€","0.59%"
"345",2016-12-10,"1 BTC = 730.17000000€","1.09%"
"346",2016-12-11,"1 BTC = 734.11000000€","0.54%"
"347",2016-12-12,"1 BTC = 736.74000000€","0.36%"
"348",2016-12-13,"1 BTC = 740.66000000€","0.53%"
"349",2016-12-14,"1 BTC = 739.27000000€","-0.19%"
"350",2016-12-15,"1 BTC = 740.04000000€","0.1%"
"351",2016-12-16,"1 BTC = 739.26000000€","-0.11%"
"352",2016-12-17,"1 BTC = 747.91000000€","1.16%"
"353",2016-12-18,"1 BTC = 752.86000000€","0.66%"
"354",2016-12-19,"1 BTC = 760.05000000€","0.95%"
"355",2016-12-20,"1 BTC = 759.18000000€","-0.11%"
"356",2016-12-21,"1 BTC = 764.64000000€","0.71%"
"357",2016-12-22,"1 BTC = 776.29000000€","1.5%"
"358",2016-12-23,"1 BTC = 796.26000000€","2.51%"
"359",2016-12-24,"1 BTC = 825.53000000€","3.55%"
"360",2016-12-25,"1 BTC = 881.88000000€","6.39%"
"361",2016-12-26,"1 BTC = 855.02000000€","-3.14%"
"362",2016-12-27,"1 BTC = 858.60000000€","0.42%"
"363",2016-12-28,"1 BTC = 863.07000000€","0.52%"
"364",2016-12-29,"1 BTC = 888.46000000€","2.86%"
"365",2016-12-30,"1 BTC = 936.44000000€","5.12%"
"366",2016-12-31,"1 BTC = 930.84000000€","-0.6%"
"367",2017-01-01,"1 BTC = 913.45000000€","-1.9%"
"368",2017-01-02,"1 BTC = 913.70000000€","0.03%"
"369",2017-01-03,"1 BTC = 946.47000000€","3.46%"
"370",2017-01-04,"1 BTC = 973.48000000€","2.77%"
"371",2017-01-05,"1 BTC = 990.37000000€","1.71%"
"372",2017-01-06,"1 BTC = 1073.81000000€","7.77%"
"373",2017-01-07,"1 BTC = 941.38000000€","-14.07%"
"374",2017-01-08,"1 BTC = 846.85000000€","-11.16%"
"375",2017-01-09,"1 BTC = 854.12000000€","0.85%"
"376",2017-01-10,"1 BTC = 866.14000000€","1.39%"
"377",2017-01-11,"1 BTC = 859.78000000€","-0.74%"
"378",2017-01-12,"1 BTC = 866.43000000€","0.77%"
"379",2017-01-13,"1 BTC = 750.87000000€","-15.39%"
"380",2017-01-14,"1 BTC = 771.50000000€","2.67%"
"381",2017-01-15,"1 BTC = 781.57000000€","1.29%"
"382",2017-01-16,"1 BTC = 770.39000000€","-1.45%"
"383",2017-01-17,"1 BTC = 777.51000000€","0.92%"
"384",2017-01-18,"1 BTC = 789.56000000€","1.53%"
"385",2017-01-19,"1 BTC = 855.16000000€","7.67%"
"386",2017-01-20,"1 BTC = 827.91000000€","-3.29%"
"387",2017-01-21,"1 BTC = 843.65000000€","1.87%"
"388",2017-01-22,"1 BTC = 841.11000000€","-0.3%"
"389",2017-01-23,"1 BTC = 864.59000000€","2.72%"
"390",2017-01-24,"1 BTC = 862.01000000€","-0.3%"
"391",2017-01-25,"1 BTC = 862.57000000€","0.06%"
"392",2017-01-26,"1 BTC = 838.05000000€","-2.93%"
"393",2017-01-27,"1 BTC = 836.72000000€","-0.16%"
"394",2017-01-28,"1 BTC = 859.85000000€","2.69%"
